gen, min, avg, max, std, exp_number
186, -92.4857, -59.152, 27.484, 15.4843, 2
187, -92.4857, -59.1268, 18.843, 15.0122, 2
188, -92.4857, -59.2399, 9.69595, 14.6424, 2
189, -92.4857, -59.0214, 11.4663, 15.0348, 2
190, -92.4857, -58.7477, 15.921, 15.4195, 2
191, -92.4857, -58.9381, 28.8507, 15.5879, 2
192, -92.4857, -59.0926, 28.2583, 15.0754, 2
193, -92.4857, -58.9664, 19.1316, 14.8873, 2
194, -92.4857, -59.1164, 19.7459, 15.0434, 2
195, -92.4857, -58.8935, 26.8941, 15.3274, 2
196, -92.4857, -58.6728, 29.8085, 16.0891, 2
197, -92.4857, -58.91, 29.6611, 15.7317, 2
198, -92.4857, -58.9398, 47.9382, 15.533, 2
199, -92.4857, -58.6264, 30.5008, 15.729, 2
200, -92.4857, -58.5633, 31.9319, 15.8685, 2
201, -92.4857, -58.5872, 32.9126, 16.0041, 2
202, -92.4857, -58.6035, 28.6432, 15.6688, 2
203, -92.4857, -58.6097, 14.0605, 15.6756, 2
204, -92.4857, -58.4001, 25.0223, 16.188, 2
205, -92.4857, -58.1456, 29.2091, 16.0203, 2
206, -92.4857, -58.0434, 18.614, 16.1354, 2
207, -92.4857, -58.033, 24.9178, 16.4224, 2
208, -92.4857, -58.1792, 16.1235, 15.8326, 2
209, -92.4857, -57.9494, 37.1876, 16.3983, 2
210, -92.4857, -58.0486, 41.4124, 16.3156, 2
211, -92.4857, -58.0374, 42.0211, 15.7548, 2
212, -92.4857, -57.8, 42.0211, 16.3028, 2
213, -92.4857, -57.8145, 43.3671, 16.3749, 2
214, -92.4857, -57.7494, 35.3847, 16.1874, 2
215, -92.4857, -57.531, 36.3071, 16.3816, 2
216, -92.4857, -57.7146, 18.0039, 16.1157, 2
217, -92.4857, -57.6083, 25.0702, 16.1797, 2
218, -92.4857, -57.4763, 16.032, 16.529, 2
219, -92.4857, -57.6551, 16.6676, 16.4267, 2
220, -92.4857, -57.4113, 38.9681, 16.9941, 2
221, -92.4857, -57.519, 33.2542, 16.7258, 2
222, -92.4857, -57.4881, 22.4226, 16.0279, 2
223, -92.4857, -57.6771, 26.7488, 15.787, 2
224, -92.4857, -57.4001, 42.5787, 16.1901, 2
